heart_rate,yawning,looks_straigh,eyes_closed,alert,gender,age,ethnicity,race
109,0,1,0,1,Female,19,Non-Hispanic,Native American
135,0,1,0,1,Female,19,Non-Hispanic,Native American
110,0,1,0,1,Female,19,Non-Hispanic,Native American
156,0,1,0,1,Female,19,Non-Hispanic,Native American
123,0,1,0,1,Female,19,Non-Hispanic,Native American
112,0,1,0,1,Female,19,Non-Hispanic,Native American
101,1,0,0,0,Female,19,Non-Hispanic,Native American
103,1,0,1,0,Female,19,Non-Hispanic,Native American
101,0,1,1,0,Female,19,Non-Hispanic,Native American
76,1,1,1,0,Female,19,Non-Hispanic,Native American
106,1,0,1,0,Female,19,Non-Hispanic,Native American
151,0,0,1,0,Female,19,Non-Hispanic,Native American
115,1,0,0,0,Female,19,Non-Hispanic,Native American
136,1,0,0,0,Female,19,Non-Hispanic,Native American
68,0,0,0,0,Female,19,Non-Hispanic,Native American
110,0,1,1,0,Female,19,Non-Hispanic,Native American
151,0,1,0,1,Female,19,Non-Hispanic,Native American
144,0,1,0,1,Female,19,Non-Hispanic,Native American
95,0,1,0,1,Female,19,Non-Hispanic,Native American
160,0,1,0,1,Female,19,Non-Hispanic,Native American
120,0,1,0,1,Female,19,Non-Hispanic,Native American
134,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
102,0,1,0,1,Female,19,Non-Hispanic,Native American
89,0,1,0,1,Female,19,Non-Hispanic,Native American
154,0,1,0,1,Female,19,Non-Hispanic,Native American
138,0,0,1,0,Female,19,Non-Hispanic,Native American
121,0,0,1,0,Female,19,Non-Hispanic,Native American
67,1,1,1,0,Female,19,Non-Hispanic,Native American
128,1,1,0,0,Female,19,Non-Hispanic,Native American
145,1,1,1,0,Female,19,Non-Hispanic,Native American
146,0,1,1,0,Female,19,Non-Hispanic,Native American
130,0,1,1,0,Female,19,Non-Hispanic,Native American
59,1,0,1,0,Female,19,Non-Hispanic,Native American
92,1,0,0,0,Female,19,Non-Hispanic,Native American
69,0,1,0,0,Female,19,Non-Hispanic,Native American
98,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
124,0,1,0,1,Female,19,Non-Hispanic,Native American
123,0,1,0,1,Female,19,Non-Hispanic,Native American
113,0,1,0,1,Female,19,Non-Hispanic,Native American
140,0,1,0,1,Female,19,Non-Hispanic,Native American
130,0,1,0,1,Female,19,Non-Hispanic,Native American
124,0,1,0,1,Female,19,Non-Hispanic,Native American
78,0,1,0,1,Female,19,Non-Hispanic,Native American
97,0,1,0,1,Female,19,Non-Hispanic,Native American
156,1,1,0,0,Female,19,Non-Hispanic,Native American
159,1,1,0,0,Female,19,Non-Hispanic,Native American
95,1,1,1,0,Female,19,Non-Hispanic,Native American
84,1,1,0,0,Female,19,Non-Hispanic,Native American
99,1,1,0,0,Female,19,Non-Hispanic,Native American
157,1,0,0,0,Female,19,Non-Hispanic,Native American
100,0,0,1,0,Female,19,Non-Hispanic,Native American
67,1,0,0,0,Female,19,Non-Hispanic,Native American
83,1,1,0,0,Female,19,Non-Hispanic,Native American
108,1,1,1,0,Female,19,Non-Hispanic,Native American
106,0,1,0,1,Female,19,Non-Hispanic,Native American
124,0,1,0,1,Female,19,Non-Hispanic,Native American
103,0,1,0,1,Female,19,Non-Hispanic,Native American
81,0,1,0,1,Female,19,Non-Hispanic,Native American
131,0,1,0,1,Female,19,Non-Hispanic,Native American
73,0,1,0,1,Female,19,Non-Hispanic,Native American
140,0,1,0,1,Female,19,Non-Hispanic,Native American
77,0,1,0,1,Female,19,Non-Hispanic,Native American
115,0,1,0,1,Female,19,Non-Hispanic,Native American
99,0,1,0,1,Female,19,Non-Hispanic,Native American
133,0,0,0,0,Female,19,Non-Hispanic,Native American
81,0,0,0,0,Female,19,Non-Hispanic,Native American
122,0,1,1,0,Female,19,Non-Hispanic,Native American
148,1,0,0,0,Female,19,Non-Hispanic,Native American
124,0,1,1,0,Female,19,Non-Hispanic,Native American
100,0,0,0,0,Female,19,Non-Hispanic,Native American
63,1,0,0,0,Female,19,Non-Hispanic,Native American
94,1,1,0,0,Female,19,Non-Hispanic,Native American
114,1,0,1,0,Female,19,Non-Hispanic,Native American
155,1,0,1,0,Female,19,Non-Hispanic,Native American
117,0,1,0,1,Female,19,Non-Hispanic,Native American
152,0,1,0,1,Female,19,Non-Hispanic,Native American
129,0,1,0,1,Female,19,Non-Hispanic,Native American
90,0,1,0,1,Female,19,Non-Hispanic,Native American
126,0,1,0,1,Female,19,Non-Hispanic,Native American
93,0,1,0,1,Female,19,Non-Hispanic,Native American
137,0,1,0,1,Female,19,Non-Hispanic,Native American
154,0,1,0,1,Female,19,Non-Hispanic,Native American
105,0,1,0,1,Female,19,Non-Hispanic,Native American
149,0,1,0,1,Female,19,Non-Hispanic,Native American
153,1,1,1,0,Female,19,Non-Hispanic,Native American
155,1,1,0,0,Female,19,Non-Hispanic,Native American
156,0,1,1,0,Female,19,Non-Hispanic,Native American
81,1,1,1,0,Female,19,Non-Hispanic,Native American
53,1,1,0,0,Female,19,Non-Hispanic,Native American
112,0,1,1,0,Female,19,Non-Hispanic,Native American
93,1,1,0,0,Female,19,Non-Hispanic,Native American
116,0,0,0,0,Female,19,Non-Hispanic,Native American
142,1,1,0,0,Female,19,Non-Hispanic,Native American
138,1,1,1,0,Female,19,Non-Hispanic,Native American
73,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
108,0,1,0,1,Female,19,Non-Hispanic,Native American
99,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
159,0,1,0,1,Female,19,Non-Hispanic,Native American
102,0,1,0,1,Female,19,Non-Hispanic,Native American
110,0,1,0,1,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
145,0,1,0,1,Female,19,Non-Hispanic,Native American
97,1,1,1,0,Female,19,Non-Hispanic,Native American
145,1,1,1,0,Female,19,Non-Hispanic,Native American
84,1,1,0,0,Female,19,Non-Hispanic,Native American
65,0,1,0,0,Female,19,Non-Hispanic,Native American
145,0,0,0,0,Female,19,Non-Hispanic,Native American
144,1,1,1,0,Female,19,Non-Hispanic,Native American
62,0,1,0,0,Female,19,Non-Hispanic,Native American
56,1,0,1,0,Female,19,Non-Hispanic,Native American
63,0,1,1,0,Female,19,Non-Hispanic,Native American
111,1,1,0,0,Female,19,Non-Hispanic,Native American
77,0,1,0,1,Female,19,Non-Hispanic,Native American
103,0,1,0,1,Female,19,Non-Hispanic,Native American
132,0,1,0,1,Female,19,Non-Hispanic,Native American
85,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
133,0,1,0,1,Female,19,Non-Hispanic,Native American
80,0,1,0,1,Female,19,Non-Hispanic,Native American
144,0,1,0,1,Female,19,Non-Hispanic,Native American
151,0,1,0,1,Female,19,Non-Hispanic,Native American
137,0,0,0,0,Female,19,Non-Hispanic,Native American
153,1,0,0,0,Female,19,Non-Hispanic,Native American
65,1,0,1,0,Female,19,Non-Hispanic,Native American
107,1,1,1,0,Female,19,Non-Hispanic,Native American
89,0,0,0,0,Female,19,Non-Hispanic,Native American
70,0,0,0,0,Female,19,Non-Hispanic,Native American
70,0,1,1,0,Female,19,Non-Hispanic,Native American
138,1,1,0,0,Female,19,Non-Hispanic,Native American
79,1,1,1,0,Female,19,Non-Hispanic,Native American
59,0,1,0,0,Female,19,Non-Hispanic,Native American
125,0,1,0,1,Female,19,Non-Hispanic,Native American
85,0,1,0,1,Female,19,Non-Hispanic,Native American
140,0,1,0,1,Female,19,Non-Hispanic,Native American
99,0,1,0,1,Female,19,Non-Hispanic,Native American
153,0,1,0,1,Female,19,Non-Hispanic,Native American
90,0,1,0,1,Female,19,Non-Hispanic,Native American
105,0,1,0,1,Female,19,Non-Hispanic,Native American
89,0,1,0,1,Female,19,Non-Hispanic,Native American
80,0,1,0,1,Female,19,Non-Hispanic,Native American
78,0,1,0,1,Female,19,Non-Hispanic,Native American
71,1,1,1,0,Female,19,Non-Hispanic,Native American
65,1,1,1,0,Female,19,Non-Hispanic,Native American
84,1,1,0,0,Female,19,Non-Hispanic,Native American
126,0,1,1,0,Female,19,Non-Hispanic,Native American
127,1,0,0,0,Female,19,Non-Hispanic,Native American
147,0,1,1,0,Female,19,Non-Hispanic,Native American
85,0,1,1,0,Female,19,Non-Hispanic,Native American
61,1,1,1,0,Female,19,Non-Hispanic,Native American
92,1,0,0,0,Female,19,Non-Hispanic,Native American
92,1,1,1,0,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
141,0,1,0,1,Female,19,Non-Hispanic,Native American
75,0,1,0,1,Female,19,Non-Hispanic,Native American
129,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
111,0,1,0,1,Female,19,Non-Hispanic,Native American
103,0,1,0,1,Female,19,Non-Hispanic,Native American
112,0,1,0,1,Female,19,Non-Hispanic,Native American
85,0,1,0,1,Female,19,Non-Hispanic,Native American
148,1,0,1,0,Female,19,Non-Hispanic,Native American
102,0,0,1,0,Female,19,Non-Hispanic,Native American
129,1,1,0,0,Female,19,Non-Hispanic,Native American
76,1,0,1,0,Female,19,Non-Hispanic,Native American
106,1,0,0,0,Female,19,Non-Hispanic,Native American
130,0,0,1,0,Female,19,Non-Hispanic,Native American
132,0,1,1,0,Female,19,Non-Hispanic,Native American
115,1,1,1,0,Female,19,Non-Hispanic,Native American
99,0,0,0,0,Female,19,Non-Hispanic,Native American
85,1,1,1,0,Female,19,Non-Hispanic,Native American
71,0,1,0,1,Female,19,Non-Hispanic,Native American
107,0,1,0,1,Female,19,Non-Hispanic,Native American
109,0,1,0,1,Female,19,Non-Hispanic,Native American
146,0,1,0,1,Female,19,Non-Hispanic,Native American
145,0,1,0,1,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
133,0,1,0,1,Female,19,Non-Hispanic,Native American
90,0,1,0,1,Female,19,Non-Hispanic,Native American
128,0,1,0,1,Female,19,Non-Hispanic,Native American
139,0,1,0,1,Female,19,Non-Hispanic,Native American
111,1,1,1,0,Female,19,Non-Hispanic,Native American
108,1,0,0,0,Female,19,Non-Hispanic,Native American
123,1,0,1,0,Female,19,Non-Hispanic,Native American
55,1,1,1,0,Female,19,Non-Hispanic,Native American
66,1,0,1,0,Female,19,Non-Hispanic,Native American
62,1,0,0,0,Female,19,Non-Hispanic,Native American
102,0,0,1,0,Female,19,Non-Hispanic,Native American
150,1,1,1,0,Female,19,Non-Hispanic,Native American
133,0,1,1,0,Female,19,Non-Hispanic,Native American
90,1,0,0,0,Female,19,Non-Hispanic,Native American
101,0,1,0,1,Female,19,Non-Hispanic,Native American
151,0,1,0,1,Female,19,Non-Hispanic,Native American
158,0,1,0,1,Female,19,Non-Hispanic,Native American
107,0,1,0,1,Female,19,Non-Hispanic,Native American
100,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
126,0,1,0,1,Female,19,Non-Hispanic,Native American
83,0,1,0,1,Female,19,Non-Hispanic,Native American
152,0,1,0,1,Female,19,Non-Hispanic,Native American
83,0,1,0,1,Female,19,Non-Hispanic,Native American
55,1,0,1,0,Female,19,Non-Hispanic,Native American
95,1,1,0,0,Female,19,Non-Hispanic,Native American
81,1,0,0,0,Female,19,Non-Hispanic,Native American
113,0,0,1,0,Female,19,Non-Hispanic,Native American
131,1,1,1,0,Female,19,Non-Hispanic,Native American
135,0,1,1,0,Female,19,Non-Hispanic,Native American
136,0,0,1,0,Female,19,Non-Hispanic,Native American
94,1,1,1,0,Female,19,Non-Hispanic,Native American
108,1,0,1,0,Female,19,Non-Hispanic,Native American
159,1,0,0,0,Female,19,Non-Hispanic,Native American
119,0,1,0,1,Female,19,Non-Hispanic,Native American
144,0,1,0,1,Female,19,Non-Hispanic,Native American
116,0,1,0,1,Female,19,Non-Hispanic,Native American
144,0,1,0,1,Female,19,Non-Hispanic,Native American
108,0,1,0,1,Female,19,Non-Hispanic,Native American
160,0,1,0,1,Female,19,Non-Hispanic,Native American
108,0,1,0,1,Female,19,Non-Hispanic,Native American
73,0,1,0,1,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
121,0,1,0,1,Female,19,Non-Hispanic,Native American
85,0,0,1,0,Female,19,Non-Hispanic,Native American
156,1,0,1,0,Female,19,Non-Hispanic,Native American
130,0,0,1,0,Female,19,Non-Hispanic,Native American
150,1,0,1,0,Female,19,Non-Hispanic,Native American
143,0,0,1,0,Female,19,Non-Hispanic,Native American
91,1,0,0,0,Female,19,Non-Hispanic,Native American
66,1,1,0,0,Female,19,Non-Hispanic,Native American
82,1,1,1,0,Female,19,Non-Hispanic,Native American
68,0,1,1,0,Female,19,Non-Hispanic,Native American
61,1,0,1,0,Female,19,Non-Hispanic,Native American
139,0,1,0,1,Female,19,Non-Hispanic,Native American
86,0,1,0,1,Female,19,Non-Hispanic,Native American
129,0,1,0,1,Female,19,Non-Hispanic,Native American
118,0,1,0,1,Female,19,Non-Hispanic,Native American
157,0,1,0,1,Female,19,Non-Hispanic,Native American
157,0,1,0,1,Female,19,Non-Hispanic,Native American
104,0,1,0,1,Female,19,Non-Hispanic,Native American
145,0,1,0,1,Female,19,Non-Hispanic,Native American
119,0,1,0,1,Female,19,Non-Hispanic,Native American
152,0,1,0,1,Female,19,Non-Hispanic,Native American
97,0,0,1,0,Female,19,Non-Hispanic,Native American
53,1,0,0,0,Female,19,Non-Hispanic,Native American
131,1,1,1,0,Female,19,Non-Hispanic,Native American
64,0,0,0,0,Female,19,Non-Hispanic,Native American
88,1,0,0,0,Female,19,Non-Hispanic,Native American
80,0,1,1,0,Female,19,Non-Hispanic,Native American
97,1,0,1,0,Female,19,Non-Hispanic,Native American
133,0,1,1,0,Female,19,Non-Hispanic,Native American
106,1,0,1,0,Female,19,Non-Hispanic,Native American
62,1,1,0,0,Female,19,Non-Hispanic,Native American
121,0,1,0,1,Female,19,Non-Hispanic,Native American
106,0,1,0,1,Female,19,Non-Hispanic,Native American
95,0,1,0,1,Female,19,Non-Hispanic,Native American
86,0,1,0,1,Female,19,Non-Hispanic,Native American
129,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
98,0,1,0,1,Female,19,Non-Hispanic,Native American
153,0,1,0,1,Female,19,Non-Hispanic,Native American
152,0,1,0,1,Female,19,Non-Hispanic,Native American
126,0,0,1,0,Female,19,Non-Hispanic,Native American
81,0,0,0,0,Female,19,Non-Hispanic,Native American
156,0,0,0,0,Female,19,Non-Hispanic,Native American
92,0,0,1,0,Female,19,Non-Hispanic,Native American
159,0,0,1,0,Female,19,Non-Hispanic,Native American
152,0,0,0,0,Female,19,Non-Hispanic,Native American
66,0,1,0,0,Female,19,Non-Hispanic,Native American
125,1,0,0,0,Female,19,Non-Hispanic,Native American
83,0,0,1,0,Female,19,Non-Hispanic,Native American
117,0,0,1,0,Female,19,Non-Hispanic,Native American
128,0,1,0,1,Female,19,Non-Hispanic,Native American
117,0,1,0,1,Female,19,Non-Hispanic,Native American
136,0,1,0,1,Female,19,Non-Hispanic,Native American
146,0,1,0,1,Female,19,Non-Hispanic,Native American
84,0,1,0,1,Female,19,Non-Hispanic,Native American
128,0,1,0,1,Female,19,Non-Hispanic,Native American
135,0,1,0,1,Female,19,Non-Hispanic,Native American
99,0,1,0,1,Female,19,Non-Hispanic,Native American
149,0,1,0,1,Female,19,Non-Hispanic,Native American
76,0,1,0,1,Female,19,Non-Hispanic,Native American
143,1,1,0,0,Female,19,Non-Hispanic,Native American
57,1,1,1,0,Female,19,Non-Hispanic,Native American
137,0,1,1,0,Female,19,Non-Hispanic,Native American
59,0,1,0,0,Female,19,Non-Hispanic,Native American
58,0,1,1,0,Female,19,Non-Hispanic,Native American
98,1,1,1,0,Female,19,Non-Hispanic,Native American
62,0,0,1,0,Female,19,Non-Hispanic,Native American
107,0,1,1,0,Female,19,Non-Hispanic,Native American
155,1,1,1,0,Female,19,Non-Hispanic,Native American
143,0,1,1,0,Female,19,Non-Hispanic,Native American
111,0,1,0,1,Female,19,Non-Hispanic,Native American
156,0,1,0,1,Female,19,Non-Hispanic,Native American
103,0,1,0,1,Female,19,Non-Hispanic,Native American
118,0,1,0,1,Female,19,Non-Hispanic,Native American
90,0,1,0,1,Female,19,Non-Hispanic,Native American
158,0,1,0,1,Female,19,Non-Hispanic,Native American
131,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
81,0,1,0,1,Female,19,Non-Hispanic,Native American
61,1,0,1,0,Female,19,Non-Hispanic,Native American
153,0,0,1,0,Female,19,Non-Hispanic,Native American
135,0,1,1,0,Female,19,Non-Hispanic,Native American
135,1,0,1,0,Female,19,Non-Hispanic,Native American
126,1,1,0,0,Female,19,Non-Hispanic,Native American
123,0,0,1,0,Female,19,Non-Hispanic,Native American
78,0,1,1,0,Female,19,Non-Hispanic,Native American
64,1,0,1,0,Female,19,Non-Hispanic,Native American
73,1,1,1,0,Female,19,Non-Hispanic,Native American
94,0,0,0,0,Female,19,Non-Hispanic,Native American
143,0,1,0,1,Female,19,Non-Hispanic,Native American
155,0,1,0,1,Female,19,Non-Hispanic,Native American
122,0,1,0,1,Female,19,Non-Hispanic,Native American
79,0,1,0,1,Female,19,Non-Hispanic,Native American
89,0,1,0,1,Female,19,Non-Hispanic,Native American
152,0,1,0,1,Female,19,Non-Hispanic,Native American
74,0,1,0,1,Female,19,Non-Hispanic,Native American
82,0,1,0,1,Female,19,Non-Hispanic,Native American
138,0,1,0,1,Female,19,Non-Hispanic,Native American
98,0,1,0,1,Female,19,Non-Hispanic,Native American
98,1,1,1,0,Female,19,Non-Hispanic,Native American
70,1,1,1,0,Female,19,Non-Hispanic,Native American
149,0,0,0,0,Female,19,Non-Hispanic,Native American
70,0,0,1,0,Female,19,Non-Hispanic,Native American
106,1,1,1,0,Female,19,Non-Hispanic,Native American
103,1,0,0,0,Female,19,Non-Hispanic,Native American
94,1,0,1,0,Female,19,Non-Hispanic,Native American
136,1,1,0,0,Female,19,Non-Hispanic,Native American
78,1,0,0,0,Female,19,Non-Hispanic,Native American
76,1,0,0,0,Female,19,Non-Hispanic,Native American
103,0,1,0,1,Female,19,Non-Hispanic,Native American
108,0,1,0,1,Female,19,Non-Hispanic,Native American
112,0,1,0,1,Female,19,Non-Hispanic,Native American
86,0,1,0,1,Female,19,Non-Hispanic,Native American
71,0,1,0,1,Female,19,Non-Hispanic,Native American
134,0,1,0,1,Female,19,Non-Hispanic,Native American
126,0,1,0,1,Female,19,Non-Hispanic,Native American
