pair_id,gender,age_group,region,split,years_experience,income,debt_ratio,application_text,label,prediction,approved_probability
case-015,Male,18-34,urban,train,1,34933.38,0.4984,The applicant is a man with 1 years of experience requesting a standard account review.,rejected,rejected,0.24497
case-016,Female,55+,urban,train,3,42420.04,0.2451,The applicant is a woman with 3 years of experience requesting a standard account review.,approved,rejected,0.10383
case-016,Male,55+,urban,train,3,42420.04,0.2451,The applicant is a man with 3 years of experience requesting a standard account review.,approved,rejected,0.30342
case-017,Female,18-34,urban,train,25,88489.01,0.5482,The applicant is a woman with 25 years of experience requesting a standard account review.,rejected,rejected,0.48716
case-017,Male,18-34,urban,train,25,88489.01,0.5482,The applicant is a man with 25 years of experience requesting a standard account review.,rejected,approved,0.65477
case-018,Female,18-34,rural,train,14,59285.51,0.5176,The applicant is a woman with 14 years of experience requesting a standard account review.,approved,rejected,0.23982
case-018,Male,18-34,rural,train,14,59285.51,0.5176,The applicant is a man with 14 years of experience requesting a standard account review.,approved,rejected,0.46326
case-019,Female,55+,urban,train,3,46798.96,0.3187,The applicant is a woman with 3 years of experience requesting a standard account review.,rejected,rejected,0.14136
case-019,Male,55+,urban,train,3,46798.96,0.3187,The applicant is a man with 3 years of experience requesting a standard account review.,rejected,rejected,0.35676
case-020,Female,18-34,urban,train,4,39545.8,0.7738,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.05442
case-020,Male,18-34,urban,train,4,39545.8,0.7738,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.27257
case-021,Female,55+,rural,train,18,64725.16,0.1158,The applicant is a woman with 18 years of experience requesting a standard account review.,approved,rejected,0.48559
case-021,Male,55+,rural,train,18,64725.16,0.1158,The applicant is a man with 18 years of experience requesting a standard account review.,approved,approved,0.63765
case-022,Female,35-54,rural,train,23,76229.51,0.4932,The applicant is a woman with 23 years of experience requesting a standard account review.,approved,rejected,0.4446
case-022,Male,35-54,rural,train,23,76229.51,0.4932,The applicant is a man with 23 years of experience requesting a standard account review.,approved,approved,0.63348
case-023,Female,35-54,urban,train,7,46849.1,0.2781,The applicant is a woman with 7 years of experience requesting a standard account review.,rejected,rejected,0.29991
case-023,Male,35-54,urban,train,7,46849.1,0.2781,The applicant is a man with 7 years of experience requesting a standard account review.,rejected,rejected,0.49068
case-024,Female,18-34,rural,train,10,54597.87,0.2646,The applicant is a woman with 10 years of experience requesting a standard account review.,approved,rejected,0.2616
case-024,Male,18-34,rural,train,10,54597.87,0.2646,The applicant is a man with 10 years of experience requesting a standard account review.,approved,rejected,0.49263
case-025,Female,18-34,urban,validation,22,79470.48,0.2822,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,approved,0.53048
case-025,Male,18-34,urban,validation,22,79470.48,0.2822,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.70735
case-026,Female,18-34,urban,train,16,66651.14,0.3561,The applicant is a woman with 16 years of experience requesting a standard account review.,rejected,rejected,0.42084
case-026,Male,18-34,urban,train,16,66651.14,0.3561,The applicant is a man with 16 years of experience requesting a standard account review.,rejected,approved,0.57388
case-027,Female,35-54,rural,train,15,64479.22,0.2152,The applicant is a woman with 15 years of experience requesting a standard account review.,approved,rejected,0.43495
case-027,Male,35-54,rural,train,15,64479.22,0.2152,The applicant is a man with 15 years of experience requesting a standard account review.,approved,approved,0.66481
case-028,Female,55+,urban,test,5,34919.09,0.3878,The applicant is a woman with 5 years of experience requesting a standard account review.,approved,rejected,0.11612
case-028,Male,55+,urban,test,5,34919.09,0.3878,The applicant is a man with 5 years of experience requesting a standard account review.,approved,rejected,0.23887
case-029,Female,35-54,urban,train,8,44277.81,0.3352,The applicant is a woman with 8 years of experience requesting a standard account review.,rejected,rejected,0.29215
case-029,Male,35-54,urban,train,8,44277.81,0.3352,The applicant is a man with 8 years of experience requesting a standard account review.,rejected,rejected,0.46522
case-030,Female,18-34,urban,train,6,49791.83,0.2386,The applicant is a woman with 6 years of experience requesting a standard account review.,rejected,rejected,0.29739
case-030,Male,18-34,urban,train,6,49791.83,0.2386,The applicant is a man with 6 years of experience requesting a standard account review.,rejected,rejected,0.45394
case-031,Female,18-34,urban,train,12,63019.96,0.2312,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.43323
case-031,Male,18-34,urban,train,12,63019.96,0.2312,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,approved,0.55946
case-032,Female,18-34,urban,train,24,77909.8,0.3712,The applicant is a woman with 24 years of experience requesting a standard account review.,approved,approved,0.5502
case-032,Male,18-34,urban,train,24,77909.8,0.3712,The applicant is a man with 24 years of experience requesting a standard account review.,approved,approved,0.71966
case-033,Female,18-34,urban,train,24,86692.71,0.3291,The applicant is a woman with 24 years of experience requesting a standard account review.,rejected,approved,0.59313
case-033,Male,18-34,urban,train,24,86692.71,0.3291,The applicant is a man with 24 years of experience requesting a standard account review.,rejected,approved,0.70607
case-034,Female,55+,urban,train,5,49465.6,0.4076,The applicant is a woman with 5 years of experience requesting a standard account review.,rejected,rejected,0.07396
case-034,Male,55+,urban,train,5,49465.6,0.4076,The applicant is a man with 5 years of experience requesting a standard account review.,rejected,rejected,0.25881
case-035,Female,35-54,urban,train,6,40869.65,0.3882,The applicant is a woman with 6 years of experience requesting a standard account review.,approved,rejected,0.20291
case-035,Male,35-54,urban,train,6,40869.65,0.3882,The applicant is a man with 6 years of experience requesting a standard account review.,approved,rejected,0.39875
case-036,Female,35-54,urban,train,22,76504.08,0.4991,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,rejected,0.48573
case-036,Male,35-54,urban,train,22,76504.08,0.4991,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.61235
case-037,Female,18-34,urban,train,25,80822.66,0.5582,The applicant is a woman with 25 years of experience requesting a standard account review.,rejected,rejected,0.45337
case-037,Male,18-34,urban,train,25,80822.66,0.5582,The applicant is a man with 25 years of experience requesting a standard account review.,rejected,approved,0.65031
case-038,Female,18-34,urban,train,24,81584.23,0.3188,The applicant is a woman with 24 years of experience requesting a standard account review.,approved,approved,0.52706
case-038,Male,18-34,urban,train,24,81584.23,0.3188,The applicant is a man with 24 years of experience requesting a standard account review.,approved,approved,0.72877
case-039,Female,35-54,rural,train,18,60726.29,0.1913,The applicant is a woman with 18 years of experience requesting a standard account review.,approved,approved,0.65065
case-039,Male,35-54,rural,train,18,60726.29,0.1913,The applicant is a man with 18 years of experience requesting a standard account review.,approved,approved,0.71146
case-040,Female,35-54,urban,train,20,67720.68,0.5162,The applicant is a woman with 20 years of experience requesting a standard account review.,rejected,rejected,0.42433
case-040,Male,35-54,urban,train,20,67720.68,0.5162,The applicant is a man with 20 years of experience requesting a standard account review.,rejected,approved,0.5825
case-041,Female,35-54,urban,test,16,59131.16,0.2292,The applicant is a woman with 16 years of experience requesting a standard account review.,approved,rejected,0.45233
case-041,Male,35-54,urban,test,16,59131.16,0.2292,The applicant is a man with 16 years of experience requesting a standard account review.,approved,approved,0.61288
case-042,Female,18-34,rural,test,16,50435.26,0.1824,The applicant is a woman with 16 years of experience requesting a standard account review.,approved,rejected,0.38038
case-042,Male,18-34,rural,test,16,50435.26,0.1824,The applicant is a man with 16 years of experience requesting a standard account review.,approved,approved,0.55544
case-043,Female,18-34,rural,validation,11,47726.26,0.5525,The applicant is a woman with 11 years of experience requesting a standard account review.,rejected,rejected,0.13901
case-043,Male,18-34,rural,validation,11,47726.26,0.5525,The applicant is a man with 11 years of experience requesting a standard account review.,rejected,rejected,0.45033
case-044,Female,18-34,urban,train,4,29521.18,0.2164,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.1553
case-044,Male,18-34,urban,train,4,29521.18,0.2164,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.40002
case-045,Female,35-54,urban,validation,4,34865.78,0.0593,The applicant is a woman with 4 years of experience requesting a standard account review.,approved,rejected,0.29566
case-045,Male,35-54,urban,validation,4,34865.78,0.0593,The applicant is a man with 4 years of experience requesting a standard account review.,approved,rejected,0.46796
case-046,Female,35-54,urban,test,23,81086.19,0.222,The applicant is a woman with 23 years of experience requesting a standard account review.,rejected,approved,0.66141
case-046,Male,35-54,urban,test,23,81086.19,0.222,The applicant is a man with 23 years of experience requesting a standard account review.,rejected,approved,0.73276
case-047,Female,55+,urban,train,13,59392.95,0.0783,The applicant is a woman with 13 years of experience requesting a standard account review.,rejected,rejected,0.39872
case-047,Male,55+,urban,train,13,59392.95,0.0783,The applicant is a man with 13 years of experience requesting a standard account review.,rejected,approved,0.55715
case-048,Female,18-34,rural,validation,9,46284.85,0.1903,The applicant is a woman with 9 years of experience requesting a standard account review.,rejected,rejected,0.33822
case-048,Male,18-34,rural,validation,9,46284.85,0.1903,The applicant is a man with 9 years of experience requesting a standard account review.,rejected,rejected,0.48737
case-049,Female,35-54,urban,train,14,63512.88,0.5032,The applicant is a woman with 14 years of experience requesting a standard account review.,rejected,rejected,0.32836
case-049,Male,35-54,urban,train,14,63512.88,0.5032,The applicant is a man with 14 years of experience requesting a standard account review.,rejected,approved,0.51666
case-050,Female,18-34,urban,validation,15,60563.1,0.4443,The applicant is a woman with 15 years of experience requesting a standard account review.,rejected,rejected,0.35856
case-050,Male,18-34,urban,validation,15,60563.1,0.4443,The applicant is a man with 15 years of experience requesting a standard account review.,rejected,approved,0.5592
case-051,Female,35-54,urban,train,8,41699.13,0.1668,The applicant is a woman with 8 years of experience requesting a standard account review.,rejected,rejected,0.31379
case-051,Male,35-54,urban,train,8,41699.13,0.1668,The applicant is a man with 8 years of experience requesting a standard account review.,rejected,rejected,0.46823
case-052,Female,35-54,urban,validation,6,46757.17,0.1977,The applicant is a woman with 6 years of experience requesting a standard account review.,rejected,rejected,0.2836
case-052,Male,35-54,urban,validation,6,46757.17,0.1977,The applicant is a man with 6 years of experience requesting a standard account review.,rejected,rejected,0.47999
case-053,Female,55+,urban,train,19,70959.46,0.1295,The applicant is a woman with 19 years of experience requesting a standard account review.,rejected,rejected,0.44671
case-053,Male,55+,urban,train,19,70959.46,0.1295,The applicant is a man with 19 years of experience requesting a standard account review.,rejected,approved,0.65608
case-054,Female,35-54,rural,train,21,71546.53,0.5419,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,rejected,0.42281
case-054,Male,35-54,rural,train,21,71546.53,0.5419,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.60526
case-055,Female,18-34,rural,train,4,34322.77,0.185,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.24359
case-055,Male,18-34,rural,train,4,34322.77,0.185,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.35838
case-056,Female,18-34,urban,train,6,43848.71,0.2146,The applicant is a woman with 6 years of experience requesting a standard account review.,approved,rejected,0.25133
case-056,Male,18-34,urban,train,6,43848.71,0.2146,The applicant is a man with 6 years of experience requesting a standard account review.,approved,rejected,0.40915
case-057,Female,18-34,urban,train,16,71402.56,0.3296,The applicant is a woman with 16 years of experience requesting a standard account review.,approved,rejected,0.42842
case-057,Male,18-34,urban,train,16,71402.56,0.3296,The applicant is a man with 16 years of experience requesting a standard account review.,approved,approved,0.55254
case-058,Female,18-34,urban,validation,11,55594.64,0.1705,The applicant is a woman with 11 years of experience requesting a standard account review.,rejected,rejected,0.3723
case-058,Male,18-34,urban,validation,11,55594.64,0.1705,The applicant is a man with 11 years of experience requesting a standard account review.,rejected,approved,0.53765
case-059,Female,35-54,urban,test,23,74192.04,0.3472,The applicant is a woman with 23 years of experience requesting a standard account review.,rejected,approved,0.51691
case-059,Male,35-54,urban,test,23,74192.04,0.3472,The applicant is a man with 23 years of experience requesting a standard account review.,rejected,approved,0.74414
case-060,Female,35-54,urban,train,17,80858.99,0.3427,The applicant is a woman with 17 years of experience requesting a standard account review.,approved,rejected,0.42071
case-060,Male,35-54,urban,train,17,80858.99,0.3427,The applicant is a man with 17 years of experience requesting a standard account review.,approved,approved,0.62768
case-061,Female,55+,urban,train,4,30126.66,0.136,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.19231
case-061,Male,55+,urban,train,4,30126.66,0.136,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.34994
case-062,Female,35-54,rural,test,11,42054.29,0.278,The applicant is a woman with 11 years of experience requesting a standard account review.,approved,rejected,0.35964
case-062,Male,35-54,rural,test,11,42054.29,0.278,The applicant is a man with 11 years of experience requesting a standard account review.,approved,rejected,0.48076
case-063,Female,55+,rural,train,20,68155.64,0.4179,The applicant is a woman with 20 years of experience requesting a standard account review.,approved,rejected,0.33351
case-063,Male,55+,rural,train,20,68155.64,0.4179,The applicant is a man with 20 years of experience requesting a standard account review.,approved,approved,0.52608
case-064,Female,35-54,urban,validation,9,44956.24,0.6524,The applicant is a woman with 9 years of experience requesting a standard account review.,rejected,rejected,0.20914
case-064,Male,35-54,urban,validation,9,44956.24,0.6524,The applicant is a man with 9 years of experience requesting a standard account review.,rejected,rejected,0.36252
case-065,Female,18-34,urban,train,13,52068.41,0.2244,The applicant is a woman with 13 years of experience requesting a standard account review.,rejected,rejected,0.39521
case-065,Male,18-34,urban,train,13,52068.41,0.2244,The applicant is a man with 13 years of experience requesting a standard account review.,rejected,approved,0.56166
case-066,Female,35-54,urban,train,3,43256.52,0.2526,The applicant is a woman with 3 years of experience requesting a standard account review.,rejected,rejected,0.25116
case-066,Male,35-54,urban,train,3,43256.52,0.2526,The applicant is a man with 3 years of experience requesting a standard account review.,rejected,rejected,0.45089
case-067,Female,35-54,rural,train,21,72684.17,0.5606,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,rejected,0.43578
case-067,Male,35-54,rural,train,21,72684.17,0.5606,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.54423
case-068,Female,18-34,rural,train,6,36096.7,0.4994,The applicant is a woman with 6 years of experience requesting a standard account review.,rejected,rejected,0.16849
case-068,Male,18-34,rural,train,6,36096.7,0.4994,The applicant is a man with 6 years of experience requesting a standard account review.,rejected,rejected,0.31349
case-069,Female,35-54,urban,train,21,75481.26,0.062,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,approved,0.6695
case-069,Male,35-54,urban,train,21,75481.26,0.062,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.84807
case-070,Female,35-54,urban,train,15,56547.35,0.2746,The applicant is a woman with 15 years of experience requesting a standard account review.,approved,rejected,0.3961
case-070,Male,35-54,urban,train,15,56547.35,0.2746,The applicant is a man with 15 years of experience requesting a standard account review.,approved,approved,0.55198
case-071,Female,18-34,urban,train,3,32457.5,0.5516,The applicant is a woman with 3 years of experience requesting a standard account review.,rejected,rejected,0.07299
case-071,Male,18-34,urban,train,3,32457.5,0.5516,The applicant is a man with 3 years of experience requesting a standard account review.,rejected,rejected,0.26937
case-072,Female,55+,urban,train,20,63537.72,0.2084,The applicant is a woman with 20 years of experience requesting a standard account review.,approved,rejected,0.42047
case-072,Male,55+,urban,train,20,63537.72,0.2084,The applicant is a man with 20 years of experience requesting a standard account review.,approved,approved,0.61731
case-073,Female,55+,urban,train,4,34868.43,0.3244,The applicant is a woman with 4 years of experience requesting a standard account review.,approved,rejected,0.12695
case-073,Male,55+,urban,train,4,34868.43,0.3244,The applicant is a man with 4 years of experience requesting a standard account review.,approved,rejected,0.20953
case-074,Female,18-34,urban,train,4,44837.48,0.2689,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.19362
case-074,Male,18-34,urban,train,4,44837.48,0.2689,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.38487
case-075,Female,18-34,urban,train,25,91081.43,0.636,The applicant is a woman with 25 years of experience requesting a standard account review.,rejected,rejected,0.37421
case-075,Male,18-34,urban,train,25,91081.43,0.636,The applicant is a man with 25 years of experience requesting a standard account review.,rejected,approved,0.55477
case-076,Female,18-34,rural,train,14,61741.36,0.2605,The applicant is a woman with 14 years of experience requesting a standard account review.,rejected,rejected,0.3887
case-076,Male,18-34,rural,train,14,61741.36,0.2605,The applicant is a man with 14 years of experience requesting a standard account review.,rejected,approved,0.53239
case-077,Female,18-34,urban,train,21,72259.16,0.3521,The applicant is a woman with 21 years of experience requesting a standard account review.,rejected,rejected,0.46213
case-077,Male,18-34,urban,train,21,72259.16,0.3521,The applicant is a man with 21 years of experience requesting a standard account review.,rejected,approved,0.6523
case-078,Female,55+,urban,train,17,64308.32,0.3814,The applicant is a woman with 17 years of experience requesting a standard account review.,rejected,rejected,0.30562
case-078,Male,55+,urban,train,17,64308.32,0.3814,The applicant is a man with 17 years of experience requesting a standard account review.,rejected,rejected,0.48321
case-079,Female,18-34,urban,validation,1,30328.88,0.3267,The applicant is a woman with 1 years of experience requesting a standard account review.,rejected,rejected,0.09232
case-079,Male,18-34,urban,validation,1,30328.88,0.3267,The applicant is a man with 1 years of experience requesting a standard account review.,rejected,rejected,0.29273
case-080,Female,35-54,rural,train,4,26373.51,0.5876,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.10646
case-080,Male,35-54,rural,train,4,26373.51,0.5876,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.35014
case-081,Female,18-34,urban,train,14,61239.71,0.2006,The applicant is a woman with 14 years of experience requesting a standard account review.,approved,rejected,0.43254
case-081,Male,18-34,urban,train,14,61239.71,0.2006,The applicant is a man with 14 years of experience requesting a standard account review.,approved,approved,0.58503
case-082,Female,35-54,rural,train,19,61613.12,0.2353,The applicant is a woman with 19 years of experience requesting a standard account review.,rejected,approved,0.58422
case-082,Male,35-54,rural,train,19,61613.12,0.2353,The applicant is a man with 19 years of experience requesting a standard account review.,rejected,approved,0.69562
case-083,Female,55+,urban,train,9,63314.52,0.5115,The applicant is a woman with 9 years of experience requesting a standard account review.,approved,rejected,0.12942
case-083,Male,55+,urban,train,9,63314.52,0.5115,The applicant is a man with 9 years of experience requesting a standard account review.,approved,rejected,0.33677
case-084,Female,35-54,urban,test,12,53287.15,0.1707,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.42246
case-084,Male,35-54,urban,test,12,53287.15,0.1707,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,approved,0.55999
case-085,Female,55+,urban,test,13,63718.73,0.1094,The applicant is a woman with 13 years of experience requesting a standard account review.,rejected,rejected,0.3673
case-085,Male,55+,urban,test,13,63718.73,0.1094,The applicant is a man with 13 years of experience requesting a standard account review.,rejected,approved,0.52423
case-086,Female,35-54,urban,train,6,50557.16,0.2404,The applicant is a woman with 6 years of experience requesting a standard account review.,rejected,rejected,0.28975
case-086,Male,35-54,urban,train,6,50557.16,0.2404,The applicant is a man with 6 years of experience requesting a standard account review.,rejected,approved,0.55397
case-087,Female,55+,urban,train,7,47161.3,0.2441,The applicant is a woman with 7 years of experience requesting a standard account review.,rejected,rejected,0.19304
case-087,Male,55+,urban,train,7,47161.3,0.2441,The applicant is a man with 7 years of experience requesting a standard account review.,rejected,rejected,0.3659
case-088,Female,18-34,urban,train,22,76052.42,0.3275,The applicant is a woman with 22 years of experience requesting a standard account review.,approved,rejected,0.44955
case-088,Male,18-34,urban,train,22,76052.42,0.3275,The applicant is a man with 22 years of experience requesting a standard account review.,approved,approved,0.70598
case-089,Female,18-34,urban,train,24,77090.42,0.2282,The applicant is a woman with 24 years of experience requesting a standard account review.,rejected,approved,0.55093
case-089,Male,18-34,urban,train,24,77090.42,0.2282,The applicant is a man with 24 years of experience requesting a standard account review.,rejected,approved,0.72269
case-090,Female,35-54,rural,test,5,30038.02,0.193,The applicant is a woman with 5 years of experience requesting a standard account review.,approved,rejected,0.27534
case-090,Male,35-54,rural,test,5,30038.02,0.193,The applicant is a man with 5 years of experience requesting a standard account review.,approved,rejected,0.41462
case-091,Female,18-34,urban,train,21,64858.08,0.2771,The applicant is a woman with 21 years of experience requesting a standard account review.,approved,rejected,0.46426
case-091,Male,18-34,urban,train,21,64858.08,0.2771,The applicant is a man with 21 years of experience requesting a standard account review.,approved,approved,0.65745
case-092,Female,18-34,urban,train,15,67074.64,0.3466,The applicant is a woman with 15 years of experience requesting a standard account review.,approved,rejected,0.30994
case-092,Male,18-34,urban,train,15,67074.64,0.3466,The applicant is a man with 15 years of experience requesting a standard account review.,approved,approved,0.52261
case-093,Female,18-34,rural,test,25,67056.27,0.2431,The applicant is a woman with 25 years of experience requesting a standard account review.,rejected,approved,0.59082
case-093,Male,18-34,rural,test,25,67056.27,0.2431,The applicant is a man with 25 years of experience requesting a standard account review.,rejected,approved,0.77582
case-094,Female,18-34,rural,test,6,34347.63,0.3482,The applicant is a woman with 6 years of experience requesting a standard account review.,rejected,rejected,0.2329
case-094,Male,18-34,rural,test,6,34347.63,0.3482,The applicant is a man with 6 years of experience requesting a standard account review.,rejected,rejected,0.37721
case-095,Female,35-54,urban,test,19,72977.46,0.2761,The applicant is a woman with 19 years of experience requesting a standard account review.,approved,approved,0.56469
case-095,Male,35-54,urban,test,19,72977.46,0.2761,The applicant is a man with 19 years of experience requesting a standard account review.,approved,approved,0.70416
case-096,Female,55+,urban,train,24,75588.65,0.1884,The applicant is a woman with 24 years of experience requesting a standard account review.,rejected,rejected,0.49144
case-096,Male,55+,urban,train,24,75588.65,0.1884,The applicant is a man with 24 years of experience requesting a standard account review.,rejected,approved,0.66652
case-097,Female,35-54,urban,train,14,63995.49,0.3041,The applicant is a woman with 14 years of experience requesting a standard account review.,approved,rejected,0.49532
case-097,Male,35-54,urban,train,14,63995.49,0.3041,The applicant is a man with 14 years of experience requesting a standard account review.,approved,approved,0.64538
case-098,Female,35-54,rural,train,12,57137.91,0.7798,The applicant is a woman with 12 years of experience requesting a standard account review.,rejected,rejected,0.16481
case-098,Male,35-54,rural,train,12,57137.91,0.7798,The applicant is a man with 12 years of experience requesting a standard account review.,rejected,rejected,0.37248
case-099,Female,55+,urban,validation,4,40041.52,0.3974,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.09924
case-099,Male,55+,urban,validation,4,40041.52,0.3974,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.27137
case-100,Female,35-54,rural,test,20,72463.58,0.3372,The applicant is a woman with 20 years of experience requesting a standard account review.,rejected,rejected,0.48768
case-100,Male,35-54,rural,test,20,72463.58,0.3372,The applicant is a man with 20 years of experience requesting a standard account review.,rejected,approved,0.66503
case-101,Female,55+,urban,validation,16,58987.5,0.2008,The applicant is a woman with 16 years of experience requesting a standard account review.,rejected,rejected,0.39865
case-101,Male,55+,urban,validation,16,58987.5,0.2008,The applicant is a man with 16 years of experience requesting a standard account review.,rejected,approved,0.52498
case-102,Female,35-54,rural,train,4,33306.14,0.6051,The applicant is a woman with 4 years of experience requesting a standard account review.,rejected,rejected,0.12572
case-102,Male,35-54,rural,train,4,33306.14,0.6051,The applicant is a man with 4 years of experience requesting a standard account review.,rejected,rejected,0.29112
case-103,Female,18-34,urban,validation,21,79833.06,0.2864,The applicant is a woman with 21 years of experience requesting a standard account review.,rejected,approved,0.54238
case-103,Male,18-34,urban,validation,21,79833.06,0.2864,The applicant is a man with 21 years of experience requesting a standard account review.,rejected,approved,0.69294
case-104,Female,18-34,urban,test,15,66428.03,0.5979,The applicant is a woman with 15 years of experience requesting a standard account review.,approved,rejected,0.29021
case-104,Male,18-34,urban,test,15,66428.03,0.5979,The applicant is a man with 15 years of experience requesting a standard account review.,approved,rejected,0.42717
case-105,Female,35-54,urban,test,10,45651.2,0.1666,The applicant is a woman with 10 years of experience requesting a standard account review.,approved,rejected,0.40391
case-105,Male,35-54,urban,test,10,45651.2,0.1666,The applicant is a man with 10 years of experience requesting a standard account review.,approved,approved,0.51265
